ID,Nombre,Este,Norte,Tipo Tecnología,zona o huso,Huso,banda,Latitud,Longitud,,
284,PFV LALACKAMA,368543.41,7221044.58,Fotovoltaica,19J,19,J,-25.12076814,-70.30391997,,
285,PFV CHAÑARES,393687.9608,7082373.001,Fotovoltaica,19J,19,J,-26.374765,-70.06566199,,
288,PFV SALVADOR,413357,7089238.012,Fotovoltaica,19J,19,J,-26.3141167,-69.8680589,,
305,PMGD PFV LAS TERRAZAS,367694,6943243.012,Fotovoltaica,19J,19,J,-27.62839525,-70.34099009,,
306,PMGD PFV PAMA,307272.9804,6547980.066,Fotovoltaica,19J,19,J,-31.186382,-71.02254997,,
307,PMGD PFV LOMAS COLORADAS,307246.88,6547994.94,Fotovoltaica,19J,19,J,-31.18624358,-71.02282088,,
308,PMGD PFV TECHOS DE ALTAMIRA,357141.09,6294500.603,Fotovoltaica,19H,19,H,-33.4794588,-70.53757704,,
309,PMGD PFV TAMBO REAL,329345.5,6674521.103,Fotovoltaica,19J,19,J,-30.0484917,-70.77011947,,
314,PFV JAVIERA,378062.52,7090296.63,Fotovoltaica,19 J,19,J,-26.30198414,-70.22151201,,
319,PFV LUZ DEL NORTE,411211.26,7010246.56,Fotovoltaica,19J,19,J,-27.02711313,-69.89510401,,
320,PMGD PFV HORNITOS,382588,6931619,Fotovoltaica,19 J,19,J,-27.73468791,-70.19119772,,
331,PFV PILAR LOS AMARILLOS,425249.7,7089067.48,Fotovoltaica,19J,19,J,-26.31632807,-69.74892702,,
332,PFV PAMPA SOLAR NORTE,381763.03,7175267.7,Fotovoltaica,19J,19,J,-25.53517309,-70.17680699,,
333,PMGD PFV LUNA DEL NORTE,338024,6675560.013,Fotovoltaica,19J,19,J,-30.04030069,-70.67997649,,
337,PFV CARRERA PINTO,413885,7012836.012,Fotovoltaica,19J,19,J,-27.00390555,-69.86797219,,
339,PMGD PFV SOL DEL NORTE,337646.48,6675562.953,Fotovoltaica,19J,19,J,-30.04022411,-70.68389017,,
344,PFV LALACKAMA II,367908.82,7222262.22,Fotovoltaica,19J,19,J,-25.10971908,-70.31009597,,
346,PFV ESPERANZA,437295.3,7091662.49,Fotovoltaica,19J,19,J,-26.29347739,-69.6281216,,
348,PFV LA SILLA,330495.11,6767337.39,Fotovoltaica,19J,19,J,-29.21136651,-70.74371532,,
349,PFV QUILAPILUN,345853,6336248,Fotovoltaica,19 H,19,H,-33.1014902,-70.65191727,,
353,PMGD PFV LA CHAPEANA,297504.9999,6622199.015,Fotovoltaica,19J,19,J,-30.51547977,-71.11029198,,
354,PMGD PFV  LAS MOLLACAS,286874.9998,6604316.015,Fotovoltaica,19J,19,J,-30.67488979,-71.22468612,,
355,PFV LOS LOROS,384525.93,6918072.68,Fotovoltaica,19 J,19,J,-27.85712036,-70.17285178,,
356,PFV CONEJO SOLAR,368053,7174101.012,Fotovoltaica,19J,19,J,-25.54454643,-70.31335005,,
357,PMGD PFV LAGUNILLA,297334,6623075,Fotovoltaica,19 J,19,J,-30.50755148,-71.1119022,,
359,PMGD PFV TILTIL,329867.69,6351922.6,Fotovoltaica,19H,19,H,-32.95778412,-70.82024393,,
362,PFV PILOTO SOLAR CARDONES,363175,6958793.012,Fotovoltaica,19J,19,J,-27.48760272,-70.38501926,,
364,PFV SANTIAGO SOLAR,326509.9663,6338084.974,Fotovoltaica,19H,19,H,-33.08201,-70.85876898,,
367,PMGD PFV BELLAVISTA,289377.9998,6494513.015,Fotovoltaica,19J,19,J,-31.66534578,-71.22157411,,
372,PMGD PFV SANTA JULIA,302056.9999,6424179.015,Fotovoltaica,19H,19,H,-32.30171983,-71.10233557,,
374,PFV ANDES SOLAR,542260,7344264,Fotovoltaica,19J,19,J,-24.01307071,-68.58446983,,
384,PFV PAMPA CAMARONES,387619.06,7548485.43,Fotovoltaica,19K,19,K,-22.16518912,-70.08996222,,
385,PFV EL AGUILA,406372,7960260,Fotovoltaica,19K,19,K,-18.44582269,-69.88665563,,
394,PFV MARIA ELENA,440541,7542544.22,Fotovoltaica,19K,19,K,-22.22148501,-69.57692992,,
399,PFV FINIS TERRAE,445661.1438,7530254.476,Fotovoltaica,19K,19,K,-22.33267761,-69.52766723,,
400,PFV JAMA,531355.72,7503345.1,Fotovoltaica,19K,19,K,-22.5763481,-68.69498,,
401,PFV POZO ALMONTE SOLAR II,421359.82,7757964.73,Fotovoltaica,19K,19,K,-20.27448407,-69.75307797,,
402,PFV POZO ALMONTE SOLAR III,422096.158,7760606.209,Fotovoltaica,19K,19,K,-20.25064676,-69.74591302,,
403,PFV LA HUAYCA II,444294.84,7738386.01,Fotovoltaica,19 K,19,K,-20.45220212,-69.53406326,,
411,PMGD PFV ALTOS DEL PAICO,309536,6274484,Fotovoltaica,19 H,19,H,-33.65247055,-71.05396465,,
412,PMGD PFV CHUCHIÑI,303233.9999,6485793.015,Fotovoltaica,19J,19,J,-31.74642824,-71.07726251,,
415,PMGD PFV EL DIVISADERO,296466.19,6585515.44,Fotovoltaica,19J,19,J,-30.84609611,-71.12835694,,
418,PFV EL ROMERO,314253.24,6778336.99,Fotovoltaica,19J,19,J,-29.10986109,-70.90888702,,
425,PFV DOÑA CARMEN SOLAR,288375,6404151,Fotovoltaica,19H,19,H,-32.47975487,-71.2520358,,
426,PFV EL PELICANO,317904.08,6774361.37,Fotovoltaica,19J,19,J,-29.14625375,-70.87203444,,
427,PMGD PFV CORDILLERILLA SOLAR,305772.15,6106821.16,Fotovoltaica,19H,19,H,-35.16279491,-71.13255114,,
428,PMGD PFV ALTURAS DE OVALLE,285256.51,6617641.72,Fotovoltaica,19 J,19,J,-30.55444371,-71.23880215,,
429,PMGD PFV HORMIGA SOLAR,338781,6378884,Fotovoltaica,19 H,19,H,-32.71603906,-70.720223,,
430,PMGD PFV SAN PEDRO,274245.0978,6246022.677,Fotovoltaica,19H,19,H,-33.902031,-71.44153396,,
435,PMGD PFV ÑILHUE,319454,6379160,Fotovoltaica,19 H,19,H,-32.71055277,-70.92629527,,
437,PMGD PFV EL BOCO,289927.89,6362582.86,Fotovoltaica,19H,19,H,-32.85474214,-71.24487498,,
439,PMGD PFV EL SAUCE,281040.67,6226309.11,Fotovoltaica,19H,19,H,-34.08110813,-71.37303193,,
442,PMGD PFV EL ROBLE,279507.47,6231168.68,Fotovoltaica,19 H,19,H,-34.03699673,-71.38840644,,
443,PMGD PFV EL LAUREL,312590.9302,6271484.416,Fotovoltaica,19 H,19,H,-33.680051,-71.02167097,,
445,PMGD PFV LIRIO DEL CAMPO,299295,6280594,Fotovoltaica,19S,19,S,-33.59551722,-71.16295946,,
455,PFV URIBE SOLAR,375850.93,7393752.19,Fotovoltaica,19K,19,K,-23.56187104,-70.21645956,,
456,PFV BOLERO,457769,7404150,Fotovoltaica,19K,19,K,-23.47216003,-69.41353387,,
457,PMGD PFV LA ESPERANZA II,266413.19,6197655.95,Fotovoltaica,19H,19,H,-34.33610338,-71.53916445,,
459,PMGD PFV CUZ CUZ,289976.71,6494762.99,Fotovoltaica,19J,19,J,-31.6632019,-71.21520963,,
462,PMGD PFV MARCHIGUE II,254883.26,6189538.13,Fotovoltaica,19H,19,H,-34.40657118,-71.66669994,,
470,PMGD PFV LOS PUQUIOS,443093.82,7740031.05,Fotovoltaica,19 K,19,K,-20.43730211,-69.54552498,,
474,PMGD PFV PAS1,421529.77,7758759.58,Fotovoltaica,19 K,19,K,-20.26730909,-69.75141601,,
475,PMGD PFV PICA,453180,7733210,Fotovoltaica,19 K,19,K,-20.49921278,-69.44901657,,
480,PMGD PFV CALAMA SOLAR,513377.98,7518008.61,Fotovoltaica,19 K,19,K,-22.44411506,-68.86998596,,
483,PMGD PFV LAS TURCAS,288882,6257333.55,Fotovoltaica,19 H,19,H,-33.80313318,-71.28063795,,
489,PFV ANTAY,363645,6958075,Fotovoltaica,19J,19,J,-27.49413028,-70.3803436,,
490,PFV CERRO DOMINADOR,451671.49,7479671.2,Fotovoltaica,19 K,19,K,-22.78980811,-69.47085302,,
491,PFV PUERTO SECO SOLAR,513545,7517259,Fotovoltaica,19K,19,K,-22.45088576,-68.86835638,,
495,PMGD PFV SAN FRANCISCO,340899,6342978,Fotovoltaica,19 H,19,H,-33.04009588,-70.70381657,,
496,PMGD PFV QUINTA SOLAR,340142,6344205,Fotovoltaica,19 H,19,H,-33.02892194,-70.71170619,,
498,PMGD PFV VALLE DE LA LUNA II,328191.01,6315489.07,Fotovoltaica,19 H,19,H,-33.28598897,-70.84503289,,
500,PMGD PFV FRANCISCO,349375.7753,6236615.861,Fotovoltaica,19H,19,H,-34.00026301,-70.63097498,,
501,PMGD PFV PANQUEHUE II,330260.59,6371919.42,Fotovoltaica,19H,19,H,-32.77755331,-70.81236976,,
503,PMGD PFV EL QUELTEHUE,294418,6284360,Fotovoltaica,19 H,19,H,-33.56064533,-71.21461659,,
506,PMGD PFV SANTUARIO SOLAR,342083.94,6359442.65,Fotovoltaica,19H,19,H,-32.89181513,-70.68830495,,
508,PMGD PFV DON EUGENIO,280300.42,6205883.12,Fotovoltaica,19H,19,H,-34.26500825,-71.38622617,,
511,PMGD PFV EL PILPEN,291800.78,6284508.69,Fotovoltaica,19H,19,H,-33.55879776,-71.24275702,,
513,PMGD PFV LA MANGA,262124.33,6244472.07,Fotovoltaica,19 H,19,H,-33.91333482,-71.57292694,,
514,PMGD PFV LA FRONTERA,246919.73,6142740.89,Fotovoltaica,19H,19,H,-34.82617949,-71.76721511,,
515,PMGD PFV CHIMBARONGO,320015.44,6144774.43,Fotovoltaica,19H,19,H,-34.82340817,-70.96804294,,
517,PFV HUATACONDO,450915,7663213,Fotovoltaica,19 K,19,K,-21.13161562,-69.47270607,,
518,PMGD PFV EL CERNICALO II,735369.74,5965005.33,Fotovoltaica,18H,18,H,-36.43132762,-72.37438347,,
519,PMGD PFV PORTEZUELO,262512,6205942,Fotovoltaica,19H,19,H,-34.26056531,-71.57924975,,
522,PMGD PFV LOS GORRIONES,251234.01,6008763.45,Fotovoltaica,19 H,19,H,-36.03390496,-71.76100315,,
524,PMGD PFV EL CERNICALO,735327.76,5964921.32,Fotovoltaica,18H,18,H,-36.43209449,-72.37482583,,
526,PMGD PFV HOMERO SOLAR,348476.61,6240608.29,Fotovoltaica,19 H,19,H,-33.96414085,-70.64001617,,
527,PMGD PFV CABILSOL,302339.04,6405809.94,Fotovoltaica,19H,19,H,-32.46737015,-71.10317698,,
528,PMGD PFV DIEGO DE ALMAGRO SOLAR,393571.87,7082838.14,Fotovoltaica,19 J,19,J,-26.37055715,-70.06678695,,
529,PMGD PFV EL PITIO,257045.47,6015318.82,Fotovoltaica,19H,19,H,-35.97633518,-71.69455691,,
530,PMGD PFV PERALILLO,252812.75,6119512.07,Fotovoltaica,19 H,19,H,-35.0368602,-71.70972094,,
534,PMGD PFV AMPARO DEL SOL,276707.69,6611006.3,Fotovoltaica,19J,19,J,-30.61270844,-71.32929755,,
537,PMGD PFV MOSTAZAL,345514.8,6238351.46,Fotovoltaica,19H,19,H,-33.98405513,-70.67245993,,
539,PMGD PFV CHANCON,331885.21,6226283.44,Fotovoltaica,19H,19,H,-34.09074614,-70.82227695,,
541,PMGD PFV LA ACACIA,308682.83,6182025.29,Fotovoltaica,19 H,19,H,-34.4856381,-71.08346792,,
543,PMGD PFV LUDERS,349286,6237229.04,Fotovoltaica,19 H,19,H,-33.99472215,-70.631841,,
545,PMGD PFV OVEJERIA,334949.63,6336810.78,Fotovoltaica,19H,19,H,-33.09481315,-70.76861494,,
546,PMGD PFV LOS PATOS,262548.12,6086889.11,Fotovoltaica,19 H,19,H,-35.33305712,-71.612494,,
550,PMGD PFV OCOA,307162.01,6369449.1,Fotovoltaica,19H,19,H,-32.7960129,-71.05938562,,
554,PMGD PFV TALHUEN,283934.4,6616978.84,Fotovoltaica,19J,19,J,-30.56018314,-71.25271496,,
555,PMGD PFV LOS LIBERTADORES,335497.84,6226404.08,Fotovoltaica,19H,19,H,-34.09023314,-70.78311195,,
556,PMGD PFV SANTA LAURA,308879.72,6413431.51,Fotovoltaica,19H,19,H,-32.39980115,-71.03207797,,
558,PMGD PFV CATAN SOLAR,349740.74,6377669.28,Fotovoltaica,19 H,19,H,-32.72854207,-70.60351854,,
559,PMGD PFV VILLA PRAT,260589.64,6111264.2,Fotovoltaica,19H,19,H,-35.11302913,-71.62693144,,
560,PMGD PFV LAS PALOMAS,749310.39,5925778.78,Fotovoltaica,18 H,18,H,-36.78101668,-72.20631427,,
562,PMGD PFV EL PICURIO,311374.97,6147306.98,Fotovoltaica,19H,19,H,-34.79902053,-71.06190044,,
564,PMGD PFV EL CHINCOL,243081,5980709,Fotovoltaica,19 H,19,H,-36.28440362,-71.86056177,,
571,PMGD PFV ALTO SOLAR,259179.98,6246280.19,Fotovoltaica,19 H,19,H,-33.89637496,-71.60424942,,
572,PMGD PFV ALICAHUE,321436,6411744,Fotovoltaica,19 H,19,H,-32.41709777,-70.89895786,,
573,PMGD PFV ENCON SOLAR,336152.73,6377534.9,Fotovoltaica,19 H,19,H,-32.72781551,-70.74849317,,
574,PMGD PFV CINTAC,339796.78,6290415.41,Fotovoltaica,19 H,19,H,-33.5138331,-70.72491294,,
576,PMGD PFV OLIVILLO,277269,6314048,Fotovoltaica,19 H,19,H,-33.28965961,-71.39186478,,
577,PMGD PFV PIQUERO,272158,6313082,Fotovoltaica,19 H,19,H,-33.29729682,-71.44695092,,
578,PMGD PFV VALLE SOLAR ESTE II,362595.02,6973641.79,Fotovoltaica,19 J,19,J,-27.35352824,-70.38921049,,
579,PMGD PFV VALLE SOLAR OESTE II,361735.08,6973850.76,Fotovoltaica,19 J,19,J,-27.35155544,-70.397879,,
580,PMGD PFV EL QUEMADO,310354,6409404,Fotovoltaica,19 H,19,H,-32.43636333,-71.01721929,,
582,PMGD PFV RODEO,316192.85,6372518.64,Fotovoltaica,19 H,19,H,-32.76988842,-70.96238432,,
584,PMGD PFV EL QUEULE,279269.18,6210664.49,Fotovoltaica,19 H,19,H,-34.22170648,-71.39619628,,
585,PMGD PFV LUNA,6211449,278119,Fotovoltaica,19 H,19,H,-44.47058091,18.56901087,,
586,PMGD PFV MALAQUITA SOLAR II,383715.9,6919672.79,Fotovoltaica,19 J,19,J,-27.84260827,-70.18092123,,
589,PMGD PFV PUNTA BAJA SOLAR,301304.59,6750538.03,Fotovoltaica,19 J,19,J,-29.35864477,-71.04687403,,
590,PMGD PFV CACHIYUYO SOLAR II,380117,6919840,Fotovoltaica,19 J,19,J,-27.84078157,-70.21744633,,
592,PMGD PFV LA BLANQUINA,347785.65,6229370.92,Fotovoltaica,19 H,19,H,-34.0653476,-70.64945065,,
593,PMGD PFV CALLE LARGA,349200.46,6360398.38,Fotovoltaica,19 H,19,H,-32.88420133,-70.61209172,,
595,PMGD PFV MARIN,337545,6370964,Fotovoltaica,19 H,19,H,-32.78726888,-70.73479018,,
597,PMGD PFV VITUCO 2B,258424,6202452,Fotovoltaica,19 H,19,H,-34.29106481,-71.62458463,,
598,PMGD PFV ARIZTIA,286045,6421999,Fotovoltaica,19 H,19,H,-32.31842504,-71.27277781,,
599,PFV ALMEYDA,390533,7101853,Fotovoltaica,19S,19,S,-26.19866381,-70.09562887,,
600,PMGD PFV LO SIERRA,284851.17,6237168.59,Fotovoltaica,19 H,19,H,-33.98403957,-71.32908772,,
601,PMGD PFV CRUCERO,270266,6182383,Fotovoltaica,19 H,19,H,-34.47456945,-71.50141332,,
602,PMGD PFV PIRQUE,349602.48,6271989.31,Fotovoltaica,19 H,19,H,-33.68138574,-70.62248132,,
603,PMGD PFV POBLACION,265164,6184168,Fotovoltaica,19 H,19,H,-34.45733872,-71.55642652,,
604,PMGD PFV LA LAJUELA,280948,6163389,Fotovoltaica,19 H,19,H,-34.64803455,-71.39008908,,
605,PMGD PFV GR SANTA ROSA,288382.93,6235223.85,Fotovoltaica,19 H,19,H,-34.00228261,-71.29135243,,
606,PMGD PFV PEDREROS SOLAR,321135.93,6369023.87,Fotovoltaica,19 H,19,H,-32.80221145,-70.91030966,,
608,PMGD PFV SANTA CLARA,268359,6611269,Fotovoltaica,19 J,19,J,-30.60875173,-71.41626493,,
609,PMGD PFV LIPANGUE,321562.29,6309505.66,Fotovoltaica,19 H,19,H,-33.33885174,-70.91736458,,
612,PMGD PFV ALTOS DE TILTIL,323741,6336378,Fotovoltaica,19 H,19,H,-33.09695321,-70.88875086,,
614,PMGD PFV LOS PERALES,285470,6330070,Fotovoltaica,19 H,19,H,-33.14692055,-71.30007547,,
615,PMGD PFV SANTA ADRIANA,317280,6270160,Fotovoltaica,19 H,19,H,-33.69280638,-70.97138686,,
616,PMGD PFV TRICAHUE II,332227,6196492,Fotovoltaica,19 H,19,H,-34.35934161,-70.82435635,,
617,PMGD PFV CASUTO,339757,6363911,Fotovoltaica,19 H,19,H,-32.85118785,-70.71239822,,
619,PMGD PFV ROVIAN,296074,6163550,Fotovoltaica,19 H,19,H,-34.64970647,-71.22512376,,
625,PMGD PFV NORTE CHICO,295692,6446534,Fotovoltaica,19 H,19,H,-32.09904477,-71.1651164,,
629,PMGD PFV RANGUIL,247189,6145132,Fotovoltaica,19 H,19,H,-34.80470921,-71.76355411,,
630,PMGD PFV CHALINGA SOLAR,313200,6484355,Fotovoltaica,19 J,19,J,-31.76106602,-70.97238089,,
631,PMGD PFV CRUZ SOLAR,325270,6370010,Fotovoltaica,19 H,19,H,-32.79398631,-70.86599154,,
632,PMGD PFV ILLAPEL 5X,296725,6500490,Fotovoltaica,19 J,19,J,-31.61278278,-71.14289065,,
633,PMGD PFV LAS CODORNICES,767243.15,5961802.23,Fotovoltaica,18 H,18,H,-36.45182065,-72.01813139,,
635,PMGD PFV EL CONDOR,314475,6138606,Fotovoltaica,19 H,19,H,-34.87800315,-71.02995712,,
637,PMGD PFV TALCA,268122.54,6072620.6,Fotovoltaica,19 H,19,H,-35.46289548,-71.55527269,,
638,PMGD PFV MONTT SOLAR,305334.26,6421681.24,Fotovoltaica,19 H,19,H,-32.32481324,-71.06805951,,
639,PFV GRANJA SOLAR,449407.32,7698801.75,Fotovoltaica,19 K,19,K,-20.8100176,-69.48618434,,
640,PMGD PFV RLA SOLAR,275711,6246167,Fotovoltaica,19 H,19,H,-33.90104364,-71.42565591,,
641,PMGD PFV CANESA SOLAR,298254,6488579,Fotovoltaica,19 J,19,J,-31.72044223,-71.12923105,,
642,PMGD PFV LAS PERDICES,264937,6084221,Fotovoltaica,19 H,19,H,-35.35765566,-71.58700166,,
643,PFV ANDES SOLAR II,542461.8,7343826.75,Fotovoltaica,19J,19,J,-24.01701457,-68.58247288,,
644,PMGD PFV MARCHIHUE VII,259532.45,6189742.37,Fotovoltaica,19 H,19,H,-34.40582306,-71.6161096,,
645,PMGD PFV DOÑIHUE,320054,6204738,Fotovoltaica,19 H,19,H,-34.28297501,-70.95493462,,
646,PMGD PFV JAURURO SOLAR,286515,6406994,Fotovoltaica,19 H,19,H,-32.45377234,-71.27117223,,
647,PMGD PFV TUCUQUERE,315454,6370924,Fotovoltaica,19 H,19,H,-32.78414087,-70.97058545,,
648,PMGD PFV JOSE SOLER MALLAFRE,314250,6136325,Fotovoltaica,19 H,19,H,-34.89851821,-71.03292407,,
651,PMGD PFV LAS LECHUZAS,763556.95,5956931.47,Fotovoltaica,18 H,18,H,-36.4966937,-72.05755357,,
653,PMGD PFV PLACILLA SOLAR,307865.29,6168554.09,Fotovoltaica,19 H,19,H,-34.60688947,-71.09540781,,
1651,PFV SANTA ISABEL,438051.28,7563276.06,Fotovoltaica,19K,19,K,-22.03410762,-69.60029278,,
1653,PMGD PFV VILLA SECA,244530.97,6027690.54,Fotovoltaica,19H,19,H,-35.86173143,-71.8292305,,
1654,PMGD PFV LUCE SOLAR,260790.21,6244814.26,Fotovoltaica,19H,19,H,-33.90994953,-71.58725106,,
1655,PMGD PFV LA LIGUA,290230.61,6409675.14,Fotovoltaica,19H,19,H,-32.43031031,-71.23107379,,
1656,PFV USYA,515648,7513653,Fotovoltaica,19K,19,K,-22.48344446,-68.84788186,,
1659,PMGD PFV SAN ISIDRO,334772,6205419,Fotovoltaica,19H,19,H,-34.27928283,-70.79497978,,
1660,PMGD PFV LAS MERCEDES,334183,6205604,Fotovoltaica,19H,19,H,-34.27752135,-70.80134011,,
1662,PMGD PFV BELLAVISTA 1,427975,7700156,Fotovoltaica,19 K,19,K,-20.79707424,-69.69207866,,
1665,PFV NUEVO QUILLAGUA,448876.65,7604872,Fotovoltaica,19K,19,K,-21.65866419,-69.49410307,,
1668,PMGD PFV CITRINO,324071.23,6283980.7,Fotovoltaica,19 H,19,H,-33.56936686,-70.89541951,,
1669,PMGD PFV ECLIPSE SOLAR,275656,6245575,Fotovoltaica,19 H,19,H,-33.90636641,-71.42640147,,
1670,PMGD PFV PILPILEN,246358,6217437,Fotovoltaica,19 H,19,H,-34.15320041,-71.75114947,,
1671,PFV ATACAMA SOLAR II,453306.02,7730356.65,Fotovoltaica,19 K,19,K,-20.52499844,-69.44788299,,
1672,PFV SAN PEDRO,523909,7506225,Fotovoltaica,19J,19,J,-22.55045263,-68.76746279,,
1675,PMGD LORETO SOLAR,309990,6208920,Fotovoltaica,19 H,19,H,-34.24349132,-71.06328823,,
1676,PMGD PFV EL ESTERO,278782,6210778,Fotovoltaica,19 H,19,H,-34.22058026,-71.40145186,,
1680,PMGD PFV RINCONADA,333004,6191196,Fotovoltaica,19 H,19,H,-34.40720436,-70.81694224,,
